timestamp;sensor;context_sensor;date (America/Argentina/Buenos_Aires)
1684165495532;4095.0;{};2023-05-15 12:44:55.532000-03:00
1684165493404;4095.0;{};2023-05-15 12:44:53.404000-03:00
1684165492533;4095.0;{};2023-05-15 12:44:52.533000-03:00
1684165491013;0.0;{};2023-05-15 12:44:51.013000-03:00
1684165490995;0.0;{};2023-05-15 12:44:50.995000-03:00
1684165486478;0.0;{};2023-05-15 12:44:46.478000-03:00
1684165484031;4095.0;{};2023-05-15 12:44:44.031000-03:00
1684165482463;3253.0;{};2023-05-15 12:44:42.463000-03:00
1684165481367;0.0;{};2023-05-15 12:44:41.367000-03:00
1684165480047;0.0;{};2023-05-15 12:44:40.047000-03:00
1684165478025;0.0;{};2023-05-15 12:44:38.025000-03:00
1684165478005;0.0;{};2023-05-15 12:44:38.005000-03:00
1684165473361;0.0;{};2023-05-15 12:44:33.361000-03:00
1684165472352;1950.0;{};2023-05-15 12:44:32.352000-03:00
1684165471351;0.0;{};2023-05-15 12:44:31.351000-03:00
1684165470339;0.0;{};2023-05-15 12:44:30.339000-03:00
1684165469070;2530.0;{};2023-05-15 12:44:29.070000-03:00
1684165464064;3446.0;{};2023-05-15 12:44:24.064000-03:00
1684165462395;4048.0;{};2023-05-15 12:44:22.395000-03:00
1684165461331;4095.0;{};2023-05-15 12:44:21.331000-03:00
1684165460514;2854.0;{};2023-05-15 12:44:20.514000-03:00
1684165458006;2256.0;{};2023-05-15 12:44:18.006000-03:00
1684165456477;2366.0;{};2023-05-15 12:44:16.477000-03:00
1684165454321;3738.0;{};2023-05-15 12:44:14.321000-03:00
1684165453030;4095.0;{};2023-05-15 12:44:13.030000-03:00
1684165451318;4095.0;{};2023-05-15 12:44:11.318000-03:00
1684165450022;2257.0;{};2023-05-15 12:44:10.022000-03:00
1684165448311;2892.0;{};2023-05-15 12:44:08.311000-03:00
1684165447347;4095.0;{};2023-05-15 12:44:07.347000-03:00
1684165446331;4095.0;{};2023-05-15 12:44:06.331000-03:00
1684165445299;2554.0;{};2023-05-15 12:44:05.299000-03:00
1684165444298;2224.0;{};2023-05-15 12:44:04.298000-03:00
1684165443293;3283.0;{};2023-05-15 12:44:03.293000-03:00
1684165442283;4095.0;{};2023-05-15 12:44:02.283000-03:00
1684165441528;4095.0;{};2023-05-15 12:44:01.528000-03:00
1684165439282;2107.0;{};2023-05-15 12:43:59.282000-03:00
1684165438288;3098.0;{};2023-05-15 12:43:58.288000-03:00
1684165437284;4095.0;{};2023-05-15 12:43:57.284000-03:00
1684165436293;3493.0;{};2023-05-15 12:43:56.293000-03:00
1684165435270;2269.0;{};2023-05-15 12:43:55.270000-03:00
1684165434464;1857.0;{};2023-05-15 12:43:54.464000-03:00
1684165432273;4095.0;{};2023-05-15 12:43:52.273000-03:00
1684165431490;4095.0;{};2023-05-15 12:43:51.490000-03:00
1684165429254;2121.0;{};2023-05-15 12:43:49.254000-03:00
1684165428522;0.0;{};2023-05-15 12:43:48.522000-03:00
1684165426256;0.0;{};2023-05-15 12:43:46.256000-03:00
